gid,name,province,DOMAIN,local_name,LAT,LONG
5009352,Cigugur,Jawa Barat,Jawa Barat,Kab. Pangandaran,-7.622,108.389
5009353,Cihampelas,Jawa Barat,Jawa Barat,Kab. Bandung Barat,-6.943,107.431
5009354,Cihaurbeuti,Jawa Barat,Jawa Barat,Kab. Ciamis,-7.235,108.167
5009355,Cihideung,Jawa Barat,Jawa Barat,Kota Tasikmalaya,-7.53,108.28
5009356,Cihurip,Jawa Barat,Jawa Barat,Kab. Garut,-7.498,107.846
5009357,Cijambe,Jawa Barat,Jawa Barat,Kab. Subang,-6.627,107.787
5009358,Cijati,Jawa Barat,Jawa Barat,Kab. Cianjur,-7.272,107.004
5009359,Cijeruk,Jawa Barat,Jawa Barat,Kab. Bogor,-6.736,106.815
5009360,Cijeungjing,Jawa Barat,Jawa Barat,Kab. Ciamis,-7.335,108.41
5009361,Cijulang,Jawa Barat,Jawa Barat,Kab. Pangandaran,-7.71,108.45
5009362,Cikadu,Jawa Barat,Jawa Barat,Kab. Cianjur,-7.267,107.296
5009363,Cikajang,Jawa Barat,Jawa Barat,Kab. Garut,-7.406,107.722
5009364,Cikakak,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.866,106.536
5009365,Cikalong,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.744,108.17
5009366,Cikalongkulon,Jawa Barat,Jawa Barat,Kab. Cianjur,-6.697,107.184
5009367,Cikalongwetan,Jawa Barat,Jawa Barat,Kab. Bandung Barat,-6.735,107.433
5009368,Cikampek,Jawa Barat,Jawa Barat,Kab. Karawang,-6.372337,107.412207
5009369,Cikancung,Jawa Barat,Jawa Barat,Kab. Bandung,-6.99882,107.81684
5009370,Cikao,Jawa Barat,Jawa Barat,Kab. Purwakarta,-6.511,107.388
5009371,Cikarang Barat,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.282,107.073
5009372,Cikarang Pusat,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.328,107.188
5009373,Cikarang Selatan,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.299,107.112
